Entity,Code,Year,GDP per capita
Turkmenistan,TKM,2019,15538.41997
Turks and Caicos Islands,TCA,2019,29251.07773
Tuvalu,TUV,2019,4274.763166
Uganda,UGA,2019,2187.465227
Ukraine,UKR,2019,12808.799
United Arab Emirates,ARE,2019,67119.15324
United Kingdom,GBR,2019,46406.46175
United States,USA,2019,62630.87328
Upper middle income,,2019,17440.33944
Uruguay,URY,2019,23032.73404
Uzbekistan,UZB,2019,7014.324699
Vanuatu,VUT,2019,3117.678832
Vietnam,VNM,2019,8041.178384
World,OWID_WRL,2019,16915.28785
Zambia,ZMB,2019,3470.448024
Zimbabwe,ZWE,2019,3027.656038
